sentence1,sentence2,answer
"Heathrow campaigners arrested over M4 protest Fifteen people have been arrested during a protest near Heathrow against airport expansion. Those arrested were among a small group of people who ran on to an M4 spur road and lay down in front of oncoming traffic, causing temporary disruption. A Metropolitan police spokesman said: “There have been 15 arrests for obstructing the highway and public order offences. Other campaigners gathered on the flyover to chant “no ifs, no buts, no third runway” and “no more runways” in the protest organised by the campaign group RisingUp! Placards reading “Heathrow expansion will destroy thousands of homes” and “protect the planet, no more runways”, were also held high. A spokesman for the group said: “The government’s decisions to expand Heathrow, despite mass opposition from local residents and the fact that doing so is incompatible with the UK’s own laws on climate change, leaves us with no morally acceptable option but to resist. “Only 15% of the British public is responsible for 70% of international flights taken in the UK and Heathrow largely serves international passengers who have a mean income of £57,000 per year.",What space/building is taken over in a protest?,no-answer
"Heathrow campaigners arrested over M4 protest Fifteen people have been arrested during a protest near Heathrow against airport expansion. Those arrested were among a small group of people who ran on to an M4 spur road and lay down in front of oncoming traffic, causing temporary disruption. A Metropolitan police spokesman said: “There have been 15 arrests for obstructing the highway and public order offences. Other campaigners gathered on the flyover to chant “no ifs, no buts, no third runway” and “no more runways” in the protest organised by the campaign group RisingUp! Placards reading “Heathrow expansion will destroy thousands of homes” and “protect the planet, no more runways”, were also held high. A spokesman for the group said: “The government’s decisions to expand Heathrow, despite mass opposition from local residents and the fact that doing so is incompatible with the UK’s own laws on climate change, leaves us with no morally acceptable option but to resist. “Only 15% of the British public is responsible for 70% of international flights taken in the UK and Heathrow largely serves international passengers who have a mean income of £57,000 per year.",When is a protest?,no-answer
"Heathrow campaigners arrested over M4 protest Fifteen people have been arrested during a protest near Heathrow against airport expansion. Those arrested were among a small group of people who ran on to an M4 spur road and lay down in front of oncoming traffic, causing temporary disruption. A Metropolitan police spokesman said: “There have been 15 arrests for obstructing the highway and public order offences. Other campaigners gathered on the flyover to chant “no ifs, no buts, no third runway” and “no more runways” in the protest organised by the campaign group RisingUp! Placards reading “Heathrow expansion will destroy thousands of homes” and “protect the planet, no more runways”, were also held high. A spokesman for the group said: “The government’s decisions to expand Heathrow, despite mass opposition from local residents and the fact that doing so is incompatible with the UK’s own laws on climate change, leaves us with no morally acceptable option but to resist. “Only 15% of the British public is responsible for 70% of international flights taken in the UK and Heathrow largely serves international passengers who have a mean income of £57,000 per year.",Who is jailed/imprisoned in a protest?,no-answer
"Heathrow campaigners arrested over M4 protest Fifteen people have been arrested during a protest near Heathrow against airport expansion. Those arrested were among a small group of people who ran on to an M4 spur road and lay down in front of oncoming traffic, causing temporary disruption. A Metropolitan police spokesman said: “There have been 15 arrests for obstructing the highway and public order offences. Other campaigners gathered on the flyover to chant “no ifs, no buts, no third runway” and “no more runways” in the protest organised by the campaign group RisingUp! Placards reading “Heathrow expansion will destroy thousands of homes” and “protect the planet, no more runways”, were also held high. A spokesman for the group said: “The government’s decisions to expand Heathrow, despite mass opposition from local residents and the fact that doing so is incompatible with the UK’s own laws on climate change, leaves us with no morally acceptable option but to resist. “Only 15% of the British public is responsible for 70% of international flights taken in the UK and Heathrow largely serves international passengers who have a mean income of £57,000 per year.",How many are jailed/imprisoned in a protest?,no-answer
"Heathrow campaigners arrested over M4 protest Fifteen people have been arrested during a protest near Heathrow against airport expansion. Those arrested were among a small group of people who ran on to an M4 spur road and lay down in front of oncoming traffic, causing temporary disruption. A Metropolitan police spokesman said: “There have been 15 arrests for obstructing the highway and public order offences. Other campaigners gathered on the flyover to chant “no ifs, no buts, no third runway” and “no more runways” in the protest organised by the campaign group RisingUp! Placards reading “Heathrow expansion will destroy thousands of homes” and “protect the planet, no more runways”, were also held high. A spokesman for the group said: “The government’s decisions to expand Heathrow, despite mass opposition from local residents and the fact that doing so is incompatible with the UK’s own laws on climate change, leaves us with no morally acceptable option but to resist. “Only 15% of the British public is responsible for 70% of international flights taken in the UK and Heathrow largely serves international passengers who have a mean income of £57,000 per year.",Who is injured/wounded in a protest?,no-answer
"Heathrow campaigners arrested over M4 protest Fifteen people have been arrested during a protest near Heathrow against airport expansion. Those arrested were among a small group of people who ran on to an M4 spur road and lay down in front of oncoming traffic, causing temporary disruption. A Metropolitan police spokesman said: “There have been 15 arrests for obstructing the highway and public order offences. Other campaigners gathered on the flyover to chant “no ifs, no buts, no third runway” and “no more runways” in the protest organised by the campaign group RisingUp! Placards reading “Heathrow expansion will destroy thousands of homes” and “protect the planet, no more runways”, were also held high. A spokesman for the group said: “The government’s decisions to expand Heathrow, despite mass opposition from local residents and the fact that doing so is incompatible with the UK’s own laws on climate change, leaves us with no morally acceptable option but to resist. “Only 15% of the British public is responsible for 70% of international flights taken in the UK and Heathrow largely serves international passengers who have a mean income of £57,000 per year.",How many are injured/wounded in a protest?,no-answer
"Heathrow campaigners arrested over M4 protest Fifteen people have been arrested during a protest near Heathrow against airport expansion. Those arrested were among a small group of people who ran on to an M4 spur road and lay down in front of oncoming traffic, causing temporary disruption. A Metropolitan police spokesman said: “There have been 15 arrests for obstructing the highway and public order offences. Other campaigners gathered on the flyover to chant “no ifs, no buts, no third runway” and “no more runways” in the protest organised by the campaign group RisingUp! Placards reading “Heathrow expansion will destroy thousands of homes” and “protect the planet, no more runways”, were also held high. A spokesman for the group said: “The government’s decisions to expand Heathrow, despite mass opposition from local residents and the fact that doing so is incompatible with the UK’s own laws on climate change, leaves us with no morally acceptable option but to resist. “Only 15% of the British public is responsible for 70% of international flights taken in the UK and Heathrow largely serves international passengers who have a mean income of £57,000 per year.",What is the aim of a protest?,no-answer
"Heathrow campaigners arrested over M4 protest Fifteen people have been arrested during a protest near Heathrow against airport expansion. Those arrested were among a small group of people who ran on to an M4 spur road and lay down in front of oncoming traffic, causing temporary disruption. A Metropolitan police spokesman said: “There have been 15 arrests for obstructing the highway and public order offences. Other campaigners gathered on the flyover to chant “no ifs, no buts, no third runway” and “no more runways” in the protest organised by the campaign group RisingUp! Placards reading “Heathrow expansion will destroy thousands of homes” and “protect the planet, no more runways”, were also held high. A spokesman for the group said: “The government’s decisions to expand Heathrow, despite mass opposition from local residents and the fact that doing so is incompatible with the UK’s own laws on climate change, leaves us with no morally acceptable option but to resist. “Only 15% of the British public is responsible for 70% of international flights taken in the UK and Heathrow largely serves international passengers who have a mean income of £57,000 per year.",What occurred because of a protest?,no-answer
"Heathrow campaigners arrested over M4 protest Fifteen people have been arrested during a protest near Heathrow against airport expansion. Those arrested were among a small group of people who ran on to an M4 spur road and lay down in front of oncoming traffic, causing temporary disruption. A Metropolitan police spokesman said: “There have been 15 arrests for obstructing the highway and public order offences. Other campaigners gathered on the flyover to chant “no ifs, no buts, no third runway” and “no more runways” in the protest organised by the campaign group RisingUp! Placards reading “Heathrow expansion will destroy thousands of homes” and “protect the planet, no more runways”, were also held high. A spokesman for the group said: “The government’s decisions to expand Heathrow, despite mass opposition from local residents and the fact that doing so is incompatible with the UK’s own laws on climate change, leaves us with no morally acceptable option but to resist. “Only 15% of the British public is responsible for 70% of international flights taken in the UK and Heathrow largely serves international passengers who have a mean income of £57,000 per year.",What was averted/haven't occurred because of a protest?,no-answer
"Heathrow campaigners arrested over M4 protest Fifteen people have been arrested during a protest near Heathrow against airport expansion. Those arrested were among a small group of people who ran on to an M4 spur road and lay down in front of oncoming traffic, causing temporary disruption. A Metropolitan police spokesman said: “There have been 15 arrests for obstructing the highway and public order offences. Other campaigners gathered on the flyover to chant “no ifs, no buts, no third runway” and “no more runways” in the protest organised by the campaign group RisingUp! Placards reading “Heathrow expansion will destroy thousands of homes” and “protect the planet, no more runways”, were also held high. A spokesman for the group said: “The government’s decisions to expand Heathrow, despite mass opposition from local residents and the fact that doing so is incompatible with the UK’s own laws on climate change, leaves us with no morally acceptable option but to resist. “Only 15% of the British public is responsible for 70% of international flights taken in the UK and Heathrow largely serves international passengers who have a mean income of £57,000 per year.",What will potentially occur because of a protest?,no-answer
